_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,please_select_the_sentiment_feeling_of_the_product_review,please_select_the_sentiment_feeling_of_the_product_review:confidence,1,label,please_select_the_sentiment_feeling_of_the_product_review_gold,text,this_is_a_lion
2216122014,false,finalized,3,3/26/2019 04:06:40,1,1.0,,1,,Nice headset priced right.,
2216122015,false,finalized,3,3/26/2019 04:06:40,0,1.0,,0,,I only hear garbage for audio.,
2216122016,false,finalized,3,3/26/2019 04:09:41,1,1.0,,1,,Excellent bluetooth headset.,
2216122017,false,finalized,3,3/26/2019 04:09:41,1,1.0,,1,,It has all the features I want,
2216122018,false,finalized,3,3/26/2019 04:09:41,0,1.0,,0,,Who in their right mind is gonna buy this battery?.,
2216122019,false,finalized,3,3/26/2019 04:09:41,0,1.0,,0,,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,
2216122020,false,finalized,3,3/26/2019 04:20:34,1,1.0,,1,,This case seems well made.,
2216122021,false,finalized,3,3/26/2019 04:20:34,0,1.0,,0,,Disappointed with battery.,
2216122022,false,finalized,3,3/26/2019 04:20:34,0,1.0,,0,,Not loud enough and doesn't turn on like it should.,
2216122023,false,finalized,3,3/26/2019 04:20:34,1,1.0,,1,,good protection and does not make phone too bulky.,
2216122024,false,finalized,3,3/26/2019 04:29:15,1,1.0,,1,,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,
2216122025,false,finalized,3,3/26/2019 04:29:15,1,1.0,,1,,This phone is pretty sturdy and I've never had any large problems with it.,
2216122026,false,finalized,3,3/26/2019 04:29:15,1,1.0,,1,,I love this thing!,
2216122027,false,finalized,3,3/26/2019 04:29:15,1,1.0,,1,,Everything about it is fine and reasonable for the price i.e.,
2216122028,false,finalized,3,3/26/2019 04:35:03,0,1.0,,0,,VERY DISAPPOINTED.,
2216122029,false,finalized,3,3/26/2019 04:35:03,1,1.0,,1,,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,
2216122030,false,finalized,3,3/26/2019 04:35:03,1,1.0,,1,,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,
2216122031,false,finalized,3,3/26/2019 04:35:03,0,1.0,,0,,The buttons for on and off are bad.,
2216122032,false,finalized,3,3/26/2019 04:54:31,0,1.0,,0,,Essentially you can forget Microsoft's tech support.,
2216122033,false,finalized,3,3/26/2019 04:54:31,1,1.0,,1,,"I really recommend this faceplates since it looks very nice, elegant and cool.",
2216122034,false,finalized,3,3/26/2019 04:54:31,1,1.0,,1,,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,
2216122035,false,finalized,3,3/26/2019 04:54:31,0,1.0,,0,,Buy a different phone - but not this.,
2216122036,false,finalized,3,3/26/2019 05:07:31,1,0.6667,,0,,You have to hold the phone at a particular angle for the other party to hear you clearly.,
2216122037,false,finalized,3,3/26/2019 05:07:31,0,0.6667,,0,,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,
2216122038,false,finalized,3,3/26/2019 05:07:31,0,1.0,,0,,"A week later after I activated it, it suddenly died.",
2216122039,false,finalized,3,3/26/2019 05:07:31,1,1.0,,1,,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,
2216122040,false,finalized,3,3/26/2019 05:15:56,1,0.6471,,1,,Great for iPODs too.,
2216122041,false,finalized,3,3/26/2019 05:15:56,1,0.6471,,1,,This device is great in several situations:1.),
2216122042,false,finalized,3,3/26/2019 05:15:56,0,1.0,,0,,Mic Doesn't work.,
2216122043,false,finalized,3,3/26/2019 05:15:56,0,0.7059,,0,,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",
2216122044,false,finalized,3,3/26/2019 05:35:32,1,1.0,,1,,Great choice!,
2216122045,false,finalized,3,3/26/2019 05:35:32,1,1.0,,1,,Nice docking station for home or work.,
2216122046,false,finalized,3,3/26/2019 05:35:32,1,1.0,,1,,This is a beautiful phone.,
2216122047,false,finalized,3,3/26/2019 05:35:32,1,1.0,,1,,Love this product.,
2216122048,false,finalized,3,3/26/2019 06:17:25,0,0.6667,,0,,Do Not Buy for D807...wrongly advertised for D807.,
2216122049,false,finalized,3,3/26/2019 06:17:25,1,1.0,,1,,This is a great little item.,
2216122050,false,finalized,3,3/26/2019 06:17:25,1,1.0,,1,,"I love this phone , It is very handy and has a lot of features .",
2216122051,false,finalized,3,3/26/2019 06:17:25,0,1.0,,0,,I purchased this and within 2 days it was no longer working!!!!!!!!!,
2216122052,false,finalized,3,3/26/2019 06:31:02,1,1.0,,1,,I wear it everyday and it holds up very well.,
2216122053,false,finalized,3,3/26/2019 06:31:02,0,1.0,,0,,Not a good bargain.,
2216122054,false,finalized,3,3/26/2019 06:31:02,1,1.0,,1,,"Well packaged, arrived on time, and works as intended.",
2216122055,false,finalized,3,3/26/2019 06:31:02,0,1.0,,0,,The battery runs down quickly.,
2216122056,false,finalized,3,3/26/2019 06:45:53,0,0.6667,,0,,"This item worked great, but it broke after 6 months of use.",
2216122057,false,finalized,3,3/26/2019 06:45:53,1,1.0,,1,,The headsets are easy to use and everyone loves them.,
2216122058,false,finalized,3,3/26/2019 06:45:53,1,1.0,,1,,This phone works great.,
2216122059,false,finalized,3,3/26/2019 06:45:53,0,1.0,,0,,The construction of the headsets is poor.,
2216122060,false,finalized,3,3/26/2019 06:59:53,1,1.0,,1,,Product was excellent and works better than the verizon one and Boy was it cheaper!,
2216122061,false,finalized,3,3/26/2019 06:59:53,1,1.0,,1,,The phone loads super!,
2216122062,false,finalized,3,3/26/2019 06:59:53,0,1.0,,0,,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",
2216122063,false,finalized,3,3/26/2019 06:59:53,1,1.0,,1,,Made very sturdy.,
2216122064,false,finalized,3,3/26/2019 07:37:33,1,1.0,,1,,Worked great!.,
2216122065,false,finalized,3,3/26/2019 07:37:33,0,1.0,,0,,The ear buds only play music in one ear.,
2216122066,false,finalized,3,3/26/2019 07:37:33,0,1.0,,0,,Dont waste your money...,
2216122067,false,finalized,3,3/26/2019 07:37:33,1,1.0,,1,,Will order from them again!,
2216122068,false,finalized,3,3/26/2019 08:16:52,0,1.0,,0,,If you plan to use this in a car forget about it.,
2216122069,false,finalized,3,3/26/2019 08:16:52,0,0.7059,,0,,I found this product to be waaay too big.,
2216122070,false,finalized,3,3/26/2019 08:16:52,1,1.0,,1,,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,
2216122071,false,finalized,3,3/26/2019 08:16:52,0,1.0,,0,,I'm very disappointed with my decision.,
2216130240,true,golden,33,"",1,0.9724,,1,1,This is a lion,
2218243929,true,golden,29,"",1,1.0,,1,1,This is a lion,
2218245535,true,golden,38,"",1,1.0,,1,1,This is a lion,
2218245683,true,golden,37,"",1,1.0,,1,1,This is a lion,
2218245859,true,golden,41,"",1,1.0,,1,1,This is a lion,
2218245921,true,golden,38,"",1,0.9793,,1,1,This is a lion,
2218246209,true,golden,33,"",1,0.9795,,1,1,This is a lion,
2218246344,true,golden,33,"",1,0.9664,,1,1,This is a lion,
2218246446,true,golden,36,"",1,0.9796,,1,1,This is a lion,
2218246531,true,golden,36,"",1,1.0,,1,1,This is a lion,
2218246643,true,golden,32,"",1,0.9724,,1,1,This is a lion,
2218246733,true,golden,38,"",1,1.0,,1,1,This is a lion,
2218246811,true,golden,36,"",1,1.0,,1,1,This is a lion,
